"","gid","id","entidad","distrito","tipo","control","geometry1_","CVE_FED","c_ANPCercana","c_distmin"
"1",1,1,1,1,9,0,NA,101,12,25267.6598136395
"2",2,2,1,2,7,0,NA,102,12,46607.4999376871
"3",3,3,1,3,7,0,NA,103,12,56861.2485517699
"4",1,1,2,1,8,0,NA,201,29,88049.3984003038
"5",2,2,2,2,7,0,NA,202,29,72284.6632506123
"6",3,3,2,3,11,0,NA,203,102,102945.208997355
"7",4,4,2,4,7,0,NA,204,29,89267.5445039259
"8",5,5,2,5,7,0,NA,205,29,111230.052587247
"9",6,6,2,6,7,0,NA,206,29,119884.978770647
"10",7,7,2,7,9,0,NA,207,29,23484.6156775612
"11",8,8,2,8,7,0,NA,208,29,108075.948635378
"12",1,1,3,1,4,0,NA,301,120,136030.763718913
"13",2,2,3,2,4,0,NA,302,95,6388.20257646733
"14",3,1,4,1,10,0,NA,401,16,83219.985207813
"15",4,2,4,2,12,0,NA,402,132,83860.7189155277
"16",1,1,5,1,10,0,NA,501,67,63067.0031797327
"17",2,2,5,2,13,0,NA,502,123,63156.0486244184
"18",3,3,5,3,11,0,NA,503,13,108640.46155144
"19",4,4,5,4,7,0,NA,504,14,33624.6014877656
"20",5,5,5,5,9,0,NA,505,72,123570.609863334
"21",6,6,5,6,7,0,NA,506,72,167875.307585939
"22",7,7,5,7,8,0,NA,507,14,139810.694827752
"23",1,1,6,1,8,0,NA,601,64,9867.41277352207
"24",2,2,6,2,9,0,NA,602,141,55244.9635489598
"25",1,1,7,1,11,0,NA,701,81,4107.79520838556
"26",2,2,7,2,10,0,NA,702,11,43087.9783491426
"27",3,3,7,3,12,0,NA,703,8,26773.8631533313
"28",4,4,7,4,11,0,NA,704,139,55496.2864564921
"29",5,5,7,5,9,0,NA,705,11,51372.1471367084
"30",6,6,7,6,9,0,NA,706,11,21332.5285596539
"31",7,7,7,7,11,0,NA,707,127,36933.0904171706
"32",8,8,7,8,10,0,NA,708,62,53430.0772207032
"33",9,9,7,9,7,0,NA,709,11,8010.61177168126
"34",10,10,7,10,12,0,NA,710,111,30825.5460183219
"35",11,11,7,11,10,0,NA,711,62,42228.1991083097
"36",12,12,7,12,8,0,NA,712,105,34082.1701122616
"37",13,13,7,13,0,0,NA,713,105,39444.4295836182
"38",1,1,8,1,11,0,NA,801,74,35730.3149870486
"39",2,2,8,2,7,0,NA,802,74,95023.3135521538
"40",3,3,8,3,7,0,NA,803,74,45748.7539805244
"41",4,4,8,4,7,0,NA,804,74,48763.6103478107
"42",5,5,8,5,13,0,NA,805,10,116582.11356648
"43",6,6,8,6,7,0,NA,806,32,46851.1929088809
"44",7,7,8,7,13,0,NA,807,82,37232.3463938261
"45",8,8,8,8,8,0,NA,808,32,63855.3242829008
"46",9,9,8,9,4,0,NA,809,168,117474.880812596
"47",1,1,9,1,6,0,NA,901,41,5409.90178498312
"48",2,2,9,2,7,0,NA,902,41,1833.40947437019
"49",3,3,9,3,6,0,NA,903,41,7372.02565543773
"50",4,4,9,4,6,0,NA,904,22,3077.29771279051
"51",5,5,9,5,7,0,NA,905,33,6647.39034860398
"52",6,6,9,6,6,0,NA,906,65,4493.76479584168
"53",7,7,9,7,2,0,NA,907,41,5224.19290563333
"54",8,8,9,8,6,0,NA,908,41,6311.81426697701
"55",9,9,9,9,6,0,NA,909,22,11596.9310323605
"56",10,10,9,10,7,0,NA,910,68,7263.8886659972
"57",11,11,9,11,2,0,NA,911,41,8898.87777213504
"58",12,12,9,12,6,0,NA,912,37,7875.44771552186
"59",13,13,9,13,6,0,NA,913,22,6515.63066236791
"60",14,14,9,14,7,0,NA,914,44,2754.74377382994
"61",15,15,9,15,6,0,NA,915,37,3184.13354787973
"62",16,16,9,16,6,0,NA,916,37,4915.37333896871
"63",17,17,9,17,7,0,NA,917,34,2184.74793180206
"64",18,18,9,18,6,0,NA,918,22,2844.93361934959
"65",19,19,9,19,6,0,NA,919,22,3933.08046020474
"66",20,20,9,20,6,0,NA,920,22,7148.01503540792
"67",21,21,9,21,7,0,NA,921,30,16345.3570347271
"68",22,22,9,22,6,0,NA,922,22,9111.96102014461
"69",23,23,9,23,6,0,NA,923,37,3085.75367179303
"70",24,24,9,24,6,0,NA,924,22,5472.88269718368
"71",1,1,10,1,14,0,NA,1001,75,133716.211055355
"72",2,2,10,2,8,0,NA,1002,72,127570.069421768
"73",3,3,10,3,13,0,NA,1003,91,109827.83673267
"74",4,4,10,4,7,0,NA,1004,91,80845.0518254339
"75",1,1,11,1,11,0,NA,1101,94,34896.0666585532
